State,District,Code
Andhra Pradesh,Anantapur,AP01
Andhra Pradesh,Chittoor,AP02
Andhra Pradesh,East Godavari,AP03
Andhra Pradesh,Guntur,AP04
Andhra Pradesh,YSR,AP13
Andhra Pradesh,Krishna,AP05
Andhra Pradesh,Kurnool,AP06
Andhra Pradesh,Prakasam,AP07
Andhra Pradesh,Sri Potti Sriramulu Nellore,AP08
Andhra Pradesh,Srikakulam,AP09
Andhra Pradesh,Visakhapatnam,AP10
Andhra Pradesh,Vizianagaram,AP11
Andhra Pradesh,West Godavari,AP12
Arunachal Pradesh,Anjaw,AR01
Arunachal Pradesh,Changlang,AR02
Arunachal Pradesh,East Kameng,AR03
Arunachal Pradesh,East Siang,AR04
Arunachal Pradesh,Kamle,AR05
Arunachal Pradesh,Kra Daadi,AR06
Arunachal Pradesh,Kurung Kumey,AR07
Arunachal Pradesh,Lepa Rada,AR08
Arunachal Pradesh,Lohit,AR09
Arunachal Pradesh,Longding,AR10
Arunachal Pradesh,Lower Dibang Valley,AR11
Arunachal Pradesh,Lower Siang,AR12
Arunachal Pradesh,Lower Subansiri,AR13
Arunachal Pradesh,Namsai,AR14
Arunachal Pradesh,Pakke-Kessang,AR15
Arunachal Pradesh,Papum Pare,AR16
Arunachal Pradesh,Shi Yomi,AR17
Arunachal Pradesh,Siang,AR18
Arunachal Pradesh,Tawang,AR19
Arunachal Pradesh,Tirap,AR20
Arunachal Pradesh,Upper Dibang Valley,AR21
Arunachal Pradesh,Upper Siang,AR22
Arunachal Pradesh,Upper Subansiri,AR23
Arunachal Pradesh,West Kameng,AR24
Arunachal Pradesh,West Siang,AR25
Assam,Baksa,AS02
Assam,Bajali,AS01
Assam,Barpeta,AS03
Assam,Bishwanath,AS04
Assam,Bongaigaon,AS05
Assam,Cachar,AS06
Assam,Charaideo,AS07
Assam,Chirang,AS08
Assam,Darrang,AS09
Assam,Dhemaji,AS10
Assam,Dhubri,AS11
Assam,Dibrugarh,AS12
Assam,Dima Hasao,AS13
Assam,Goalpara,AS14
Assam,Golaghat,AS15
Assam,Hailakandi,AS16
Assam,Hojai,AS17
Assam,Jorhat,AS18
Assam,Kamrup,AS19
Assam,Kamrup Metropolitan,AS20
Assam,Karbi Anglong,AS21
Assam,Karimganj,AS22
Assam,Kokrajhar,AS23
Assam,Lakhimpur,AS24
Assam,Majuli,AS25
Assam,Morigaon,AS26
Assam,Nagaon,AS27
Assam,Nalbari,AS28
Assam,Sivasagar,AS29
Assam,South Salmara,AS31
Assam,Sonitpur,AS30
Assam,Tinsukia,AS32
Assam,Udalguri,AS33
Assam,West Karbi Anglong,AS34
Bihar,Araria,BR01
Bihar,Arwal,BR02
Bihar,Aurangabad,BR03
Bihar,Banka,BR04
Bihar,Begusarai,BR05
Bihar,Bhagalpur,BR06
Bihar,Bhojpur,BR07
Bihar,Buxar,BR08
Bihar,Darbhanga,BR09
Bihar,East Champaran,BR10
Bihar,Gaya,BR11
Bihar,Gopalganj,BR12
Bihar,Jamui,BR13
Bihar,Jehanabad,BR14
Bihar,Kaimur,BR15
Bihar,Katihar,BR16
Bihar,Khagaria,BR17
Bihar,Kishanganj,BR18
Bihar,Lakhisarai,BR19
Bihar,Madhepura,BR20
Bihar,Madhubani,BR21
Bihar,Munger,BR22
Bihar,Muzaffarpur,BR23
Bihar,Nalanda,BR24
Bihar,Nawada,BR25
Bihar,Patna,BR26
Bihar,Purnia,BR27
Bihar,Rohtas,BR28
Bihar,Saharsa,BR29
Bihar,Samastipur,BR30
Bihar,Saran,BR31
Bihar,Sheikhpura,BR32
Bihar,Sheohar,BR33
Bihar,Sitamarhi,BR34
Bihar,Siwan,BR35
Bihar,Supaul,BR36
Bihar,Vaishali,BR37
Bihar,West Champaran,BR38
Chhattisgarh,Balod,CG01
Chhattisgarh,Baloda Bazar,CG02
Chhattisgarh,Balrampur,CG03
Chhattisgarh,Bastar,CG04
Chhattisgarh,Bemetara,CG05
Chhattisgarh,Bijapur,CG06
Chhattisgarh,Bilaspur,CG07
Chhattisgarh,Dantewada,CG08
Chhattisgarh,Dhamtari,CG09
Chhattisgarh,Durg,CG10
Chhattisgarh,Gariaband,CG11
Chhattisgarh,Gaurella-Pendra-Marwahi,CG12
Chhattisgarh,Janjgir-Champa,CG13
Chhattisgarh,Jashpur,CG14
Chhattisgarh,Kabirdham,CG15
Chhattisgarh,Kanker,CG16
Chhattisgarh,Kondagaon,CG17
Chhattisgarh,Korba,CG18
Chhattisgarh,Koriya,CG19
Chhattisgarh,Mahasamund,CG20
Chhattisgarh,Mungeli,CG21
Chhattisgarh,Narayanpur,CG22
Chhattisgarh,Raigarh,CG23
Chhattisgarh,Raipur,CG24
Chhattisgarh,Rajnandgaon,CG25
Chhattisgarh,Sukma,CG26
Chhattisgarh,Surajpur,CG27
Chhattisgarh,Surguja,CG28
Goa,North Goa,GA01
Goa,South Goa,GA02
Gujarat,Ahmedabad,GJ01
Gujarat,Amreli,GJ02
Gujarat,Anand,GJ03
Gujarat,Aravalli,GJ04
Gujarat,Banaskantha,GJ05
Gujarat,Bharuch,GJ06
Gujarat,Bhavnagar,GJ07
Gujarat,Botad,GJ08
Gujarat,Chhota Udepur,GJ09
Gujarat,Dahod,GJ10
Gujarat,Dang,GJ11
Gujarat,Devbhoomi Dwarka,GJ12
Gujarat,Gandhinagar,GJ13
Gujarat,Gir Somnath,GJ14
Gujarat,Jamnagar,GJ15
Gujarat,Junagadh,GJ16
Gujarat,Kheda,GJ17
Gujarat,Kutch,GJ18
Gujarat,Mahisagar,GJ19
Gujarat,Mehsana,GJ20
Gujarat,Morbi,GJ21
Gujarat,Narmada,GJ22
Gujarat,Navsari,GJ23
Gujarat,Panchmahal,GJ24
Gujarat,Patan,GJ25
Gujarat,Porbandar,GJ26
Gujarat,Rajkot,GJ27
Gujarat,Sabarkantha,GJ28
Gujarat,Surat,GJ29
Gujarat,Surendranagar,GJ30
Gujarat,Tapi,GJ31
Gujarat,Vadodara,GJ32
Gujarat,Valsad,GJ33
Haryana,Ambala,HR01
Haryana,Bhiwani,HR02
Haryana,Charkhi Dadri,HR03
Haryana,Faridabad,HR04
Haryana,Fatehabad,HR05
Haryana,Gurgaon,HR06
Haryana,Hissar,HR07
Haryana,Jhajjar,HR08
Haryana,Jind,HR09
Haryana,Kaithal,HR10
Haryana,Karnal,HR11
Haryana,Kurukshetra,HR12
Haryana,Mahendragarh,HR13
Haryana,Nuh,HR14
Haryana,Palwal,HR15
Haryana,Panchkula,HR16
Haryana,Panipat,HR17
Haryana,Rewari,HR18
Haryana,Rohtak,HR19
Haryana,Sirsa,HR20
Haryana,Sonipat,HR21
Haryana,Yamuna Nagar,HR22
Himachal Pradesh,Bilaspur,HP01
Himachal Pradesh,Chamba,HP02
Himachal Pradesh,Hamirpur,HP03
Himachal Pradesh,Kangra,HP04
Himachal Pradesh,Kinnaur,HP05
Himachal Pradesh,Kullu,HP06
Himachal Pradesh,Lahaul and Spiti,HP07
Himachal Pradesh,Mandi,HP08
Himachal Pradesh,Shimla,HP09
Himachal Pradesh,Sirmaur,HP10
Himachal Pradesh,Solan,HP11
Himachal Pradesh,Una,HP12
Jharkhand,Bokaro,JH01
Jharkhand,Chatra,JH02
Jharkhand,Deoghar,JH03
Jharkhand,Dhanbad,JH04
Jharkhand,Dumka,JH05
Jharkhand,East Singhbhum,JH06
Jharkhand,Garhwa,JH07
Jharkhand,Giridih,JH08
Jharkhand,Godda,JH09
Jharkhand,Gumla,JH10
Jharkhand,Hazaribag,JH11
Jharkhand,Jamtara,JH12
Jharkhand,Khunti,JH13
Jharkhand,Koderma,JH14
Jharkhand,Latehar,JH15
Jharkhand,Lohardaga,JH16
Jharkhand,Pakur,JH17
Jharkhand,Palamu,JH18
Jharkhand,Ramgarh,JH19
Jharkhand,Ranchi,JH20
Jharkhand,Sahibganj,JH21
Jharkhand,Seraikela Kharsawan,JH22
Jharkhand,Simdega,JH23
Jharkhand,West Singhbhum,JH24
Karnataka,Bagalkot,KA01
Karnataka,Ballari,KA02
Karnataka,Belgaum,KA05
Karnataka,Bangalore Rural,KA03
Karnataka,Bangalore Urban,KA04
Karnataka,Bidar,KA06
Karnataka,Bijapur,KA07
Karnataka,Chamarajanagara,KA08
Karnataka,Chikkaballapura,KA09
Karnataka,Chikmagalur,KA10
Karnataka,Chitradurga,KA11
Karnataka,Dakshina Kannada,KA12
Karnataka,Davanagere,KA13
Karnataka,Dharwad,KA14
Karnataka,Gadag,KA15
Karnataka,Gulbarga,KA16
Karnataka,Hassan,KA17
Karnataka,Haveri,KA18
Karnataka,Kodagu,KA19
Karnataka,Kolar,KA20
Karnataka,Koppal,KA21
Karnataka,Mandya,KA22
Karnataka,Mysore,KA23
Karnataka,Raichur,KA24
Karnataka,Ramanagara,KA25
Karnataka,Shimoga,KA26
Karnataka,Tumakuru,KA27
Karnataka,Udupi,KA28
Karnataka,Uttara Kannada,KA29
Karnataka,Vijayanagara,KA30
Karnataka,Yadgir,KA31
Kerala,Alappuzha,KL01
Kerala,Ernakulam,KL02
Kerala,Idukki,KL03
Kerala,Kannur,KL04
Kerala,Kasaragod,KL05
Kerala,Kollam,KL06
Kerala,Kottayam,KL07
Kerala,Kozhikode,KL08
Kerala,Malappuram,KL09
Kerala,Palakkad,KL10
Kerala,Pathanamthitta,KL11
Kerala,Thrissur,KL13
Kerala,Thiruvananthapuram,KL12
Kerala,Wayanad,KL14
Madhya Pradesh,Agar Malwa,MP01
Madhya Pradesh,Alirajpur,MP02
Madhya Pradesh,Anuppur,MP03
Madhya Pradesh,Ashok Nagar,MP04
Madhya Pradesh,Balaghat,MP05
Madhya Pradesh,Barwani,MP06
Madhya Pradesh,Betul,MP07
Madhya Pradesh,Bhind,MP08
Madhya Pradesh,Bhopal,MP09
Madhya Pradesh,Burhanpur,MP10
Madhya Pradesh,Chachaura,MP11
Madhya Pradesh,Chhatarpur,MP12
Madhya Pradesh,Chhindwara,MP13
Madhya Pradesh,Damoh,MP14
Madhya Pradesh,Datia,MP15
Madhya Pradesh,Dewas,MP16
Madhya Pradesh,Dhar,MP17
Madhya Pradesh,Dindori,MP18
Madhya Pradesh,Guna,MP19
Madhya Pradesh,Gwalior,MP20
Madhya Pradesh,Harda,MP21
Madhya Pradesh,Hoshangabad,MP22
Madhya Pradesh,Indore,MP23
Madhya Pradesh,Jabalpur,MP24
Madhya Pradesh,Jhabua,MP25
Madhya Pradesh,Katni,MP26
Madhya Pradesh,Khandwa (East Nimar),MP27
Madhya Pradesh,Khargone (West Nimar),MP28
Madhya Pradesh,Maihar,MP29
Madhya Pradesh,Mandla,MP30
Madhya Pradesh,Mandsaur,MP31
Madhya Pradesh,Morena,MP32
Madhya Pradesh,Narsinghpur,MP34
Madhya Pradesh,Nagda,MP33
Madhya Pradesh,Neemuch,MP35
Madhya Pradesh,Niwari,MP36
Madhya Pradesh,Panna,MP37
Madhya Pradesh,Raisen,MP38
Madhya Pradesh,Rajgarh,MP39
Madhya Pradesh,Ratlam,MP40
Madhya Pradesh,Rewa,MP41
Madhya Pradesh,Sagar,MP42
Madhya Pradesh,Satna,MP43
Madhya Pradesh,Sehore,MP44
Madhya Pradesh,Seoni,MP45
Madhya Pradesh,Shahdol,MP46
Madhya Pradesh,Shajapur,MP47
Madhya Pradesh,Sheopur,MP48
Madhya Pradesh,Shivpuri,MP49
Madhya Pradesh,Sidhi,MP50
Madhya Pradesh,Singrauli,MP51
Madhya Pradesh,Tikamgarh,MP52
Madhya Pradesh,Ujjain,MP53
Madhya Pradesh,Umaria,MP54
Madhya Pradesh,Vidisha,MP55
Maharashtra,Ahmednagar,MH01
Maharashtra,Akola,MH02
Maharashtra,Amravati,MH03
Maharashtra,Aurangabad,MH04
Maharashtra,Beed,MH05
Maharashtra,Bhandara,MH06
Maharashtra,Buldhana,MH07
Maharashtra,Chandrapur,MH08
Maharashtra,Dhule,MH09
Maharashtra,Gadchiroli,MH10
Maharashtra,Gondia,MH11
Maharashtra,Hingoli,MH12
Maharashtra,Jalgaon,MH13
Maharashtra,Jalna,MH14
Maharashtra,Kolhapur,MH15
Maharashtra,Latur,MH16
Maharashtra,Mumbai City,MH17
Maharashtra,Mumbai suburban,MH18
Maharashtra,Nanded,MH20
Maharashtra,Nandurbar,MH21
Maharashtra,Nagpur,MH19
